step,file,tensor,orientation,rows,cols,cells,dense_bytes,distinct_nonzero_values,singleton_terminals,minimum_symbol_width,minimum_dictionary_and_singleton_bytes,bound_ratio,rejected_95pct,current_uint32_terminal_overflow,positive_zero_cells
1000,optimizer.safetensors,muon.blocks.2.attn.c_v.weight,transposed,512,512,262144,1048576,261730,262144,27,1931720,1.8422317504882812,True,False,0
1000,optimizer.safetensors,muon.blocks.2.mlp.c_fc.weight,original,2048,512,1048576,4194304,1043762,1048560,29,7976142,1.901660442352295,True,False,0
1000,optimizer.safetensors,muon.blocks.2.mlp.c_fc.weight,transposed,512,2048,1048576,4194304,1043762,1048564,31,8238298,1.9641633033752441,True,False,0
1000,optimizer.safetensors,muon.blocks.2.mlp.c_proj.weight,original,512,2048,1048576,4194304,1043693,1048564,31,8238022,1.964097499847412,True,False,0
1000,optimizer.safetensors,muon.blocks.2.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1043693,1048558,29,7975859,1.9015929698944092,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_k.weight,original,512,512,262144,1048576,261704,262144,27,1931616,1.842132568359375,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_k.weight,transposed,512,512,262144,1048576,261704,262142,27,1931610,1.8421268463134766,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_proj.weight,original,512,512,262144,1048576,261670,262144,27,1931480,1.8420028686523438,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_proj.weight,transposed,512,512,262144,1048576,261670,262140,27,1931467,1.8419904708862305,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_q.weight,original,512,512,262144,1048576,261738,262144,27,1931752,1.8422622680664062,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_q.weight,transposed,512,512,262144,1048576,261738,262142,27,1931746,1.8422565460205078,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_v.weight,original,512,512,262144,1048576,261726,262142,27,1931698,1.8422107696533203,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.c_v.weight,transposed,512,512,262144,1048576,261726,262140,27,1931691,1.8422040939331055,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.ve_gate.weight,original,4,32,128,512,128,128,13,784,1.53125,True,False,0
1000,optimizer.safetensors,muon.blocks.3.attn.ve_gate.weight,transposed,32,4,128,512,128,128,10,736,1.4375,True,False,0
